,No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
9,150,HOFT,380.87M,-,11.81,-,0.69,1.52,4.06,4.89,-57.50%,27.57%,4.30%,17.00%,20.10%,32.25,0.19%,"29,209"
10,151,HTGC,1.65B,13.31,10.60,2.66,5.85,1.40,-,-,-3.50%,0.00%,5.37%,5.00%,-,14.42,0.91%,"559,862"
11,152,HUIZ,354.13M,-,700.00,-,2.12,4.70,5.19,-,7.80%,-94.70%,-,-,-,7.00,0.00%,"38,516"
12,153,HURN,1.34B,-,23.98,-,1.45,2.33,17.99,8.98,162.20%,19.73%,-1.90%,13.50%,6.60%,58.95,0.05%,"122,964"
13,154,HYMC,478.14M,-,-,-,15.37,-,41.58,-,55.40%,91.10%,-,-,-,7.85,-1.51%,"67,792"
14,155,IAA,8.72B,49.72,34.25,-,6.43,-,40.34,37.46,4.40%,26.80%,-,-,9.90%,64.98,0.06%,"477,476"
15,156,IBN,50.00B,26.16,18.57,-,4.19,2.51,2.49,-,188.80%,38.65%,0.00%,-,9.10%,14.86,1.36%,"5,177,125"
16,157,IDA,4.79B,19.65,20.20,7.56,3.61,1.89,14.21,-,5.10%,2.95%,3.60%,2.60%,1.00%,96.03,0.83%,"256,790"
17,158,IDCC,1.89B,31.49,35.65,2.10,5.09,2.39,2.05,17.60,-50.60%,2.96%,-24.10%,15.00%,-5.20%,60.68,-0.26%,"109,425"
18,159,IDYA,413.98M,-,-,-,46.00,2.03,1.49,-,-90.50%,23.00%,-,-,-,14.00,9.80%,"228,640"
19,160,IEC,139.02M,21.68,-,-,0.76,3.63,463.41,15.98,39.90%,-,29.70%,-,7.50%,13.55,3.12%,"244,805"
0,161,IEP,11.75B,-,-,-,2.02,2.89,2.58,13.64,-441.70%,98.10%,-11.50%,-,-14.70%,50.67,0.84%,"211,114"
1,162,IGI,242.37M,-,-,-,-,-,-,-,-,-,-,-,-,22.36,-0.62%,"48,544"
2,163,IH,1.02B,584.52,-,-,21.35,-,43.06,-,-,-,-,-,-,18.12,-1.95%,"62,433"
3,164,IIIIU,-,-,-,-,-,-,-,-,-,-,-16.59%,13.00%,-,10.57,-0.94%,"127,449"
4,165,IIIV,1.02B,-,26.65,-,6.81,3.37,65.53,49.15,90.30%,24.48%,-,-,-,33.20,-0.51%,"174,453"
